component,layer,head,source,separation,delta_separation,behavior,delta_behavior,dfa_score,dfa_rank,necessity_separation,necessity_behavior,separation_control_z,behavior_control_z
L8H1,8,1,dfa,6.597910046577454,0.015326428413390936,4.3625,0.08124999999999982,-0.2583124041557312,18,-0.015326428413390936,-0.08124999999999982,-0.2267287767294955,0.6944540520698385
L8H4,8,4,dfa,6.602633333206176,0.020049715042113725,4.3203125,0.0390625,0.4057224988937378,9,-0.020049715042113725,-0.0390625,-0.19460734906079366,0.49327101123415606
L7H15,7,15,random,6.602870321273803,0.020286703109740678,4.1765625,-0.10468749999999982,,,-0.020286703109740678,0.10468749999999982,-0.1929956757343576,-0.19224157235409722
L4H10,4,10,dfa,6.604618978500366,0.02203536033630371,4.2515625,-0.029687499999999645,0.2993716895580292,14,-0.02203536033630371,0.029687499999999645,-0.18110366683554857,0.16541716690934055
L6H11,6,11,dfa,6.611875724792481,0.02929210662841797,4.2265625,-0.0546875,0.35113951563835144,11,-0.02929210662841797,0.0546875,-0.13175306217082602,0.04619758715485989
L8H8,8,8,dfa,6.620064997673035,0.037481379508972346,4.259375,-0.021874999999999645,0.813340961933136,3,-0.037481379508972346,0.021874999999999645,-0.07606066889273273,0.20267328558261524
L17H6,17,6,dfa,6.625037264823914,0.042453646659851074,4.1234375,-0.15781250000000036,0.9653251767158508,12,-0.042453646659851074,0.15781250000000036,-0.0422460113902297,-0.4455831793323676
L8H15,8,15,dfa,6.6450340270996096,0.062450408935546875,4.2765625,-0.004687500000000178,0.4619119167327881,8,-0.062450408935546875,0.004687500000000178,0.09374500578432562,0.284636746663817
L11MLP,11,,dfa,6.645116901397705,0.06253328323364205,3.9828125,-0.2984374999999999,0.7503814101219177,19,-0.06253328323364205,0.2984374999999999,0.09430860502805356,-1.1161933154513097
L7H6,7,6,dfa,6.646207427978515,0.06362380981445259,4.303125,0.021874999999999645,-0.3369778096675873,12,-0.06362380981445259,-0.021874999999999645,0.10172489657243838,0.41130755015295006
L15H14,15,14,dfa,6.651465535163879,0.06888191699981672,4.2953125,0.014062499999999645,0.7727856636047363,18,-0.06888191699981672,-0.014062499999999645,0.13748345261726314,0.3740514314796754
L7MLP,7,,dfa,6.651609706878662,0.06902608871459925,4.2640625,-0.017187500000000355,0.7430421710014343,4,-0.06902608871459925,0.017187500000000355,0.13846391424753945,0.22502695678657667
L15H8,15,8,dfa,6.659138941764832,0.07655532360076922,4.178125,-0.10312500000000036,-0.7861436605453491,16,-0.07655532360076922,0.10312500000000036,0.1896676189573197,-0.18479034861944482
L19MLP,19,,random,6.662987518310547,0.08040390014648402,3.6546875,-0.6265624999999999,,,-0.08040390014648402,0.6265624999999999,0.21584044793383866,-2.6809502997288464
L18H13,18,13,dfa,6.6791173934936525,0.09653377532958984,4.0140625,-0.26718750000000036,-1.2501672506332397,6,-0.09653377532958984,0.26718750000000036,0.3255341124784832,-0.9671688407582132
