component,layer,head,source,separation,delta_separation,behavior,delta_behavior,dfa_score,dfa_rank,necessity_separation,necessity_behavior,separation_control_z,behavior_control_z
L8H3,8,3,random,38.718779015541074,-0.05213744640350626,4.2765625,-0.004687500000000178,,,0.05213744640350626,0.004687500000000178,-0.032810618603863216,0.04937936534907187
L20H12,20,12,random,38.719737672805785,-0.051178789138795366,4.35,0.06874999999999964,,,0.051178789138795366,-0.06874999999999964,-0.028132695421895334,1.3755680347242494
L19H7,19,7,random,38.744623851776126,-0.02629261016845419,4.225,-0.056250000000000355,,,0.02629261016845419,0.056250000000000355,0.09330344009945661,-0.8817743812335052
L7H13,7,13,random,38.747122693061826,-0.023793768882754307,4.3015625,0.020312500000000178,,,0.023793768882754307,-0.020312500000000178,0.10549694033017684,0.5008478485406292
L11H10,11,10,random,38.75969135761261,-0.011225104331970215,4.26875,-0.012500000000000178,,,0.011225104331970215,0.012500000000000178,0.16682777193475662,-0.09170453564828779
L17H14,17,14,dfa,38.80202829837799,0.031111836433410645,4.23125,-0.04999999999999982,,,-0.031111836433410645,0.04999999999999982,0.37341772222288455,-0.7689072604356078
L1H13,1,13,random,38.80621330738067,0.03529684543609335,4.2703125,-0.010937499999999822,,,-0.03529684543609335,0.010937499999999822,0.39383915055921254,-0.06348775544880944
L17H5,17,5,random,38.807367658615114,0.03645119667053365,4.353125,0.07187500000000036,,,-0.03645119667053365,-0.07187500000000036,0.3994719941191578,1.4320015951232061
L7H15,7,15,random,38.82488017082214,0.053963708877560634,4.1765625,-0.10468749999999982,,,-0.053963708877560634,0.10468749999999982,0.48492713000909726,-1.7564945674171255
L12H2,12,2,random,38.846333360672,0.07541689872741841,4.3296875,0.048437500000000355,,,-0.07541689872741841,-0.048437500000000355,0.5896114398453898,1.008749892131127
L17H1,17,1,dfa,38.84660284519195,0.07568638324737265,4.4,0.11875000000000036,0.5173140168190002,29,-0.07568638324737265,-0.11875000000000036,0.5909264331485027,2.2785050011073644
L3H1,3,1,random,38.85328962802887,0.08237316608428813,4.2546875,-0.026562499999999822,,,-0.08237316608428813,0.026562499999999822,0.6235556715604447,-0.34565555744352877
L0H4,0,4,random,38.87663040161133,0.10571393966674947,4.3046875,0.0234375,,,-0.10571393966674947,-0.0234375,0.737450751528766,0.5572814089395699
L0H7,0,7,random,38.952719593048094,0.1818031311035142,4.2828125,0.0015625000000003553,,,-0.1818031311035142,-0.0015625000000003553,1.1087402682535739,0.16224648614696924
L1MLP,1,,random,39.11941962242126,0.34850316047668173,4.203125,-0.078125,,,-0.34850316047668173,0.078125,1.922180024613881,-1.2768093040261057
L15H14,15,14,dfa,39.26252560615539,0.4916091442108126,4.2953125,0.014062499999999645,,,-0.4916091442108126,-0.014062499999999645,2.6204888190401094,0.38798072774273185
L15H4,15,4,dfa,39.544737696647644,0.773821234703064,4.4265625,0.14531250000000018,,,-0.773821234703064,-0.14531250000000018,3.997588361224718,2.758190264498384
L19H3,19,3,dfa,41.186850094795226,2.4159336328506456,4.2875,0.006249999999999645,-0.5480387806892395,26,-2.4159336328506456,-0.006249999999999645,12.010541412811975,0.2468968267453722
L20H10,20,10,dfa,41.795204639434814,3.0242881774902344,4.3296875,0.048437500000000355,-1.4738775491714478,9,-3.0242881774902344,-0.048437500000000355,14.979105812189138,1.008749892131127
